team,player,impact
Illinois,Blake Fagbemi,0.002
Illinois St.,Landon Wolf,2.468
Illinois St.,Johnny Kinziger,2.244
Illinois St.,Ty'Reek Coleman,2.041
Illinois St.,Boden Skunberg,1.851
Illinois St.,Landon Moore,1.468
Illinois St.,Ty Pence,1.179
Illinois St.,Chase Walker,1.017
Illinois St.,Mason Klabo,0.905
Illinois St.,Brandon Lieb,0.697
Illinois St.,Jack Daugherty,0.132
Illinois St.,Cameron Barnes,0.003
Indiana,Lamar Wilkerson,2.602
Indiana,Tucker DeVries,1.981
Indiana,Sam Alexis,1.918
Indiana,Conor Enright,1.488
Indiana,Nick Dorn,1.29
Indiana,Reed Bailey,0.357
Indiana,Jasai Miles,0.31
Indiana,Tayton Conerway,0.093
Indiana,Trent Sisley,0.065
Indiana,Aleksa Ristic,0.002
Indiana,Drew Snively,0.0
Indiana,Ian Stephens,0.0
Indiana,Tryce Grensing,0.0
Indiana St.,Ian Scott,1.799
Indiana St.,Bruno Alocen,1.702
Indiana St.,Xavier Hall,1.485
Indiana St.,Enel St. Bernard,1.466
Indiana St.,Camp Wagner,1.313
Indiana St.,Sterling Young,1.29
Indiana St.,Markus Harding,0.857
Indiana St.,Cooper Bean,0.132
Indiana St.,Jo Van Buggenhout,0.102
Indiana St.,Hunter Harding,0.064
Indiana St.,Sivert Nordheim,0.034
Indiana St.,Caden Huttenlocker,0.003
Iona,C.J. Anthony,2.148
Iona,Lamin Sabally,1.994
Iona,Toby Harris,1.665
Iona,Kosy Akametu,1.525
Iona,Denver Anglin,1.416
Iona,Luke Jungers,1.051
Iona,Alliou Fall,0.689
Iona,Chase Cormier,0.233
Iona,Khalil Badru,0.136
Iowa,Bennett Stirtz,3.717
Iowa,Tavion Banks,2.139
Iowa,Cooper Koch,1.928
Iowa,Alvaro Folgueiras,1.546
Iowa,Cam Manyawu,1.467
Iowa,Kael Combs,1.112
Iowa,Tate Sage,0.898
Iowa,Isaia Howard,0.843
Iowa,Brendan Hausen,0.45
Iowa,Trevin Jirak,0.047
Iowa,Joey Matteoni,0.003
Iowa,Jacob Koch,0.001
Iowa St.,Milan Momcilovic,2.337
Iowa St.,Tamin Lipsey,2.083
Iowa St.,Joshua Jefferson,1.963
Iowa St.,Nate Heise,1.312
Iowa St.,Killyan Toure,1.122
Iowa St.,Blake Buchanan,1.078
Iowa St.,Dominykas Pleta,0.501
Iowa St.,Jamarion Batemon,0.428
Iowa St.,Eric Mulder,0.021
Iowa St.,Cade Kelderman,0.001
Iowa St.,Dominick Nelson,0.001
Jackson St.,Jayme Mitchell Jr.,2.188
Jackson St.,Dorian McMillian,1.791
Jackson St.,Devin Ree,1.32
Jackson St.,Dionjahe Thomas,1.196
Jackson St.,Raevon Thomas,0.807
Jackson St.,Daeshun Ruffin,0.651
Jackson St.,Tamarion Hoover,0.519
Jackson St.,Delyle Williams,0.354
Jackson St.,Kobe Butler,0.113
Jackson St.,Jalen Tatum,0.106
Jackson St.,Deyan Kolev,0.03
Jackson St.,Ebo Wilson,0.025
Jackson St.,Cael Jones,0.001
Jacksonville,Jaylen Jones,1.879
Jacksonville,"Jason Thirdkill, Jr.",1.753
Jacksonville,Hayden Wood,1.486
Jacksonville,Donovan Rivers,1.306
Jacksonville,Chris Lockett,1.003
Jacksonville,Evan Sterck,0.95
Jacksonville,Chris Arias,0.688
Jacksonville,Allen Udemadu,0.385
Jacksonville,Charles Caporaso,0.226
Jacksonville,Jaylen Jordon,0.048
Jacksonville St.,AC Bryant,1.823
Jacksonville St.,JaCoby Hill,1.736
Jacksonville St.,Jaye Nash,1.68
Jacksonville St.,Mostapha El Moutaouakkil,1.644
Jacksonville St.,Iaroslav Niagu,1.634
Jacksonville St.,Marcus Fitzgerald Jr.,1.366
Jacksonville St.,Emondrek Erkins-Ford,0.487
Jacksonville St.,Thomas Tut,0.014
Jacksonville St.,Toby Nnadozie,0.014
Jacksonville St.,Jamar Franklin,0.01
Jacksonville St.,Aitor Anabitarte,0.005
Jacksonville St.,Aidan Driggers,0.001
Jacksonville St.,Connor Loy,0.001
James Madison,Cliff Davis,2.305
James Madison,Preston Fowler,1.317
James Madison,Kose Egbule,1.232
James Madison,Bradley Douglas,1.084
James Madison,Justin McBride,1.06
James Madison,Gabe Newhof,1.046
James Madison,Eddie Ricks III,0.409
James Madison,Christian Brown,0.305
James Madison,Eli Wilborn,0.3
James Madison,Justin Taylor,0.203
James Madison,Paul Jones III,0.049
Kansas,Flory Bidunga,2.427
Kansas,Melvin Council Jr.,2.158
Kansas,Bryson Tiller,1.645
Kansas,Tre White,1.129
Kansas,Darryn Peterson,0.897
Kansas,Jamari McDowell,0.626
Kansas,Elmarko Jackson,0.3
Kansas,Kohl Rosario,0.141
Kansas,Jayden Dawson,0.119
Kansas,Paul Mbiya,0.008
Kansas,Samis Calderon,0.003
Kansas,Nginyu Ngala,0.001
Kansas City,Chris Dockery,1.663
Kansas City,U'Riyah Evans,1.541
Kansas City,Jayson Petty,1.529
Kansas City,Jerome Palm,1.095
Kansas City,Karmello Branch,0.924
Kansas City,Kasheem Grady II,0.546
Kansas City,Babacar Mbengue,0.301
Kansas City,Shatner Booker-Lowery,0.278
Kansas City,Jamaria Clark,0.246
Kansas City,Addarin Scott,0.139
Kansas St.,PJ Haggerty,2.395
Kansas St.,Nate Johnson,1.882
Kansas St.,David Castillo,1.528
Kansas St.,Taj Manning,1.119
Kansas St.,Marcus Johnson,0.571
Kansas St.,CJ Jones,0.514
Kansas St.,Khamari McGriff,0.428
Kansas St.,Dorin Buca,0.405
Kansas St.,Andrej Kostic,0.066
Kennesaw St.,Braedan Lue,1.404
Kennesaw St.,RJ Johnson,1.402
Kennesaw St.,Trey Simpson,1.238
Kennesaw St.,Jaden Harris,0.656
Kennesaw St.,Frankquon Sherman,0.642
Kennesaw St.,Kaden Rickard,0.346
Kennesaw St.,Amir Taylor,0.295
Kennesaw St.,Perry Smith Jr.,0.199
Kennesaw St.,Darius Washington III,0.106
Kennesaw St.,Eric Holland,0.009
Kent St.,Delrecco Gillespie,2.397
Kent St.,Jahari Williamson,1.957
Kent St.,Morgan Safford,1.915
Kent St.,Quinn Woidke,1.299
Kent St.,Magnus Entenmann,0.648
Kent St.,Rayvon Griffith,0.228
Kent St.,Dezmon Briscoe,0.08
Kent St.,Rob Whaley Jr.,0.03
Kent St.,Omer Hamama,0.009
Kentucky,Otega Oweh,1.516
Kentucky,Collin Chandler,1.454
Kentucky,Denzel Aberdeen,1.102
Kentucky,Malachi Moreno,0.761
Kentucky,Brandon Garrison,0.704
Kentucky,Mouhamed Dioubate,0.68
Kentucky,Andrija Jelavic,0.645
Kentucky,Jasper Johnson,0.422
Kentucky,Trent Noah,0.091
LIU,Greg Gordon,2.03
LIU,Jamal Fuller,1.746
LIU,Malachi Davis,1.492
LIU,Jomo Goings,1.358
LIU,Shadrak Lasu,1.12
LIU,Mason Porter-Brown,0.818
LIU,Caleb Johnson,0.594
LIU,Tre'shawn Sheppard,0.114
LIU,A.J. Neal,0.048
LIU,Xinyi Li,0.035
LMU (CA),Rodney Brown Jr.,2.091
LMU (CA),Myron Amey Jr.,2.065
LMU (CA),Jan Vide,1.95
LMU (CA),Aaron McBride,1.255
LMU (CA),Joshua Dalton,1.054
LMU (CA),Jalen Shelley,0.657
LMU (CA),AJ Thomas,0.299
LMU (CA),Nakyel Shelton,0.28
LMU (CA),Rick Issanza,0.248
LMU (CA),Rokas Jocius,0.192
LMU (CA),Jael Martin,0.017
LSU,Marquel Sutton,1.39
LSU,Pablo Tamba,1.051
LSU,Jalen Reece,0.811
LSU,Robert Miller III,0.748
LSU,Michael Nwoko,0.497
LSU,Rashad King,0.465
LSU,Max Mackinnon,0.433
LSU,PJ Carter,0.266
LSU,Mazi Mosley,0.181
LSU,Jaden Bobbett,0.001
La Salle,Jaden Johnson,1.142
La Salle,Rob Dockery,1.082
La Salle,Jaeden Marshall,0.903
La Salle,Ashton Walker,0.863
La Salle,Truth Harris,0.531
La Salle,Edwin Daniel,0.428
La Salle,Josiah Harris,0.317
La Salle,Damon Strand,0.237
La Salle,Nas Hart,0.035
La Salle,Max Lipacis,0.006
La Salle,Eric Acker,0.003
Lafayette,Andrew Phillips,2.112
Lafayette,Caleb Williams,1.789
Lafayette,Christian Humphrey-Rembert,1.589
Lafayette,Mark Butler,1.426
Lafayette,Ryan Pettit,0.872
Lafayette,Shareef Jackson,0.663
Lafayette,Misha Bednostin,0.392
Lafayette,KaiMani Murdock,0.143
Lafayette,Luke Bevilacqua,0.041
Lafayette,Joshua Wyche,0.015
Lafayette,Ashton Wallace,0.002
Lafayette,Folabomi Fayemi,0.002
Lamar University,Braden East,1.942
Lamar University,"Rob Lee, Jr.",1.773
Lamar University,Andrew Holifield,1.194
Lamar University,Cody Pennebaker,1.046
Lamar University,Errol White,0.939
Lamar University,King-Njhsanni Wilhite,0.715
Lamar University,Eian Lowe,0.675
Lamar University,Jayden Gambrell,0.417
Lamar University,Janko Bulajic,0.363
Lamar University,Spencer Ezewiro,0.041
Lamar University,B.B. Knight,0.026
Le Moyne,Deng Garang,1.807
Le Moyne,Tennessee Rainwater,1.786
Le Moyne,Trent Mosquera,1.673
Le Moyne,Shilo Jackson,1.202
Le Moyne,Eli Greenberg,0.926
Le Moyne,Samuel Hincapie,0.686
Le Moyne,Jakai Sanders,0.622
Le Moyne,Jakob Blakley,0.429
Le Moyne,Isaac Nyakundi,0.22
Le Moyne,Trevor Roe,0.145
Le Moyne,Josiah Lee,0.009
Le Moyne,Sam Donnelly,0.001
Lehigh,Hank Alvey,2.556
Lehigh,Nasir Whitlock,2.454
Lehigh,Joshua Ingram,1.97
Lehigh,Peter Kramer,1.366
Lehigh,Andrew Urosevic,1.113
Lehigh,Edouard Benoit,0.553
Lehigh,Jalen Vazquez,0.192
Lehigh,Jake Pike,0.104
Lehigh,Henri Adiassa,0.054
Lehigh,Alfredo Addesa,0.027
Lehigh,Brendan Reed,0.002
Liberty,Colin Porter,2.469
Liberty,Zach Cleveland,2.144
Liberty,Brett Decker Jr.,2.12
Liberty,JJ Harper,1.906
Liberty,Kaden Metheny,1.716
Liberty,Josh Smith,0.784
Liberty,Zander Carter,0.338
Liberty,Zander Yates,0.035
Liberty,Ryan Jones Jr.,0.006
Lindenwood,Jadis Jones,2.321
Lindenwood,Anias Futrell,2.084
Lindenwood,Milos Nenadic,1.889
Lindenwood,Dontrez Williams,1.735
Lindenwood,Mekhi Cooper,1.651
Lindenwood,Clayton Jackson,0.588
Lindenwood,Robert Lewis,0.059
Lipscomb,Grant Asman,1.956
Lipscomb,Mateo Esmeraldo,1.951
Lipscomb,Ross Candelino,1.445
Lipscomb,Charlie Williams,1.347
Lipscomb,Or Ashkenazi,0.997
Lipscomb,Ethan Duncan,0.966
Lipscomb,Titas Sargiunas,0.575
Lipscomb,Cole Middleton,0.503
Lipscomb,Kellan Boylan,0.462
Lipscomb,Kennedy Okpara,0.259
Little Rock,Johnathan Lawson,2.975
Little Rock,Braxton Bayless,2.619
Little Rock,Cameron Wallace,2.3
Little Rock,Kachi Nzeh,2.199
Little Rock,Tuongthach Gatkek,1.983
Little Rock,Truman Claytor IV,1.25
Little Rock,Caleb Pennyfeather,0.396
Little Rock,Tracy Steele Jr.,0.186
Little Rock,Joseph Thomas,0.001
Long Beach St.,Petar Majstorovic,1.321
Long Beach St.,Shaquil Bender,0.882
Long Beach St.,Rob Diaz,0.81
Long Beach St.,Isaiah Lewis,0.802
Long Beach St.,Leopold Levillain,0.752
Long Beach St.,Cole Farrell,0.599
Long Beach St.,Gavin Sykes,0.521
Long Beach St.,Shay Johnson Jr.,0.408
Long Beach St.,Dallas Washington,0.134
Long Beach St.,Derrick Michael Xzavierro,0.003
Longwood,Elijah Tucker,1.781
Longwood,Johan Nziemi,1.536
Longwood,Alphonzo Billups III,1.488
Longwood,Jacoi Hutchinson,1.453
Longwood,Emanuel Richards,1.142
Longwood,Jaylen Benard,0.996
Longwood,Redd Thompson Jr.,0.909
Longwood,Elijah Kelly,0.758
Longwood,Elijah Jones,0.363
Longwood,Jaylin Payne,0.044
Longwood,Isaiah Kalala,0.003
Longwood,Jerome Williams,0.001
Louisiana,Dorian Finister,1.379
Louisiana,De'Vion Lavergne,1.203
Louisiana,Jaxon Olvera,1.116
Louisiana,Karris Bilal,0.926
Louisiana,Dariyus Woodson,0.888
Louisiana,Todd Jones,0.833
Louisiana,Kyran Ratliff,0.36
Louisiana,Michael Collins,0.087
Louisiana,Jeremiah Evans,0.042
Louisiana,Milan Mejia,0.016
Louisiana Tech,Avery Thomas II,1.862
Louisiana Tech,AJ Bates,1.651
Louisiana Tech,Scooter Williams Jr.,1.52
Louisiana Tech,Kaden Cooper,1.224
Louisiana Tech,DJ Dudley,1.212
Louisiana Tech,Sir Issac Herron,0.547
Louisiana Tech,Jaylen Fenner,0.492
Louisiana Tech,Melian Martinez,0.442
Louisiana Tech,Will Allen,0.311
Louisiana Tech,Kylan Howze,0.1
Louisiana Tech,Keegan Rowell,0.001
Louisville,Mikel Brown Jr.,2.14
Louisville,Ryan Conwell,1.982
Louisville,Sananda Fru,1.548
Louisville,Isaac McKneely,1.418
Louisville,J'Vonne Hadley,1.409
Louisville,Khani Rooths,0.893
Louisville,Adrian Wooley,0.697
Louisville,Kasean Pryor,0.415
Louisville,Kobe Rodgers,0.313
Louisville,Aly Khalifa,0.262
Louisville,Vangelis Zougris,0.066
Louisville,Cole Sherman,0.004
Louisville,Spencer Legg,0.001
Louisville,Will Hanke,0.001
Loyola Chicago,Daniil Glazkov,0.985
Loyola Chicago,Miles Rubin,0.824
Loyola Chicago,Justin Moore,0.752
Loyola Chicago,Kayde Dotson,0.723
Loyola Chicago,Deywilk Tavarez,0.66
Loyola Chicago,Xavier Amos,0.525
Loyola Chicago,Alexander Richardson,0.434
Loyola Chicago,Nicolus Anderson,0.391
Loyola Chicago,Joshua Ola-Joseph,0.382
Loyola Chicago,Caleb Reese,0.102
Loyola Chicago,Brayden Young,0.001
Loyola Chicago,Zachary Royster,0.001
Loyola Maryland,Emmett Adair,2.284
Loyola Maryland,Braeden Speed,2.217
Loyola Maryland,Jordan Stiemke,2.106
Loyola Maryland,Tyson Commander,1.199
Loyola Maryland,Troy Cicero Jr.,0.719
Loyola Maryland,Jacob Theodosiou,0.605
Loyola Maryland,Carter Berg-McLean,0.512
Loyola Maryland,Sam Springer,0.398
Loyola Maryland,Sebastien Emenalo,0.364
Loyola Maryland,Everett Barnes,0.182
Loyola Maryland,Garrett Brennan,0.004
Loyola Maryland,Peter Sposito,0.004
Loyola Maryland,Ben Menker,0.001
Maine,TJ Biel,2.181
Maine,Logan Carey,1.755
Maine,Ryan Mabrey,1.575
Maine,Darius Lopes,1.458
Maine,Caleb Crawford,1.066
Maine,Ace Flagg,0.993
Maine,Yanis Bamba,0.135
Maine,Bashir N'Galang,0.018
Maine,Emmitt Byther,0.003
Maine,Isaac Bonilla,0.002
Manhattan,Jaden Winston,3.435
Manhattan,Fraser Roxburgh,3.156
Manhattan,Terrance Jones,2.681
Manhattan,Devin Dinkins,2.178
Manhattan,Anthony Isaac,1.53
Manhattan,Marko Ljubicic,1.261
Manhattan,Quron Elliott,0.757
Manhattan,Jackson Delaney,0.099
Manhattan,Erik Oliver-Bush,0.006
Marist,Justin Menard,2.525
Marist,Rhyjon Blackwell,2.158
Marist,Jadin Collins-Roberts,1.933
Marist,Jason Schofield,1.842
Marist,Myles Parker,1.392
Marist,Jaden Daughtry,1.061
Marist,Parby Kabamba,0.743
Marist,Elijah Lewis,0.552
Marist,Trace Salton,0.151
Marist,Martin Kawa,0.149
Marist,Jordan Gabriel,0.074
Marist,Ricky McKenzie,0.034
Marist,Antoni Vlogianitis,0.008
Marquette,Royce Parham,1.527
Marquette,Adrien Stevens,1.402
Marquette,Nigel James Jr.,1.284
Marquette,Chase Ross,1.179
Marquette,Ben Gold,0.826
Marquette,Damarius Owens,0.297
Marquette,Tre Norman,0.179
Marquette,Caedin Hamilton,0.109
Marquette,Michael Phillips II,0.093
Marquette,Josh Clark,0.008
Marshall,Wyatt Fricks,2.379
Marshall,Jalen Speer,2.305
Marshall,Noah Otshudi,1.888
Marshall,Landen Joseph,1.415
Marshall,Erich Harding,0.9
Marshall,Wilson Dubinsky,0.728
Marshall,Caleb Hollenbeck,0.554
Marshall,Shamarrie Hugie,0.194
Marshall,Drew Fuquay,0.167
Marshall,Bryce Slay,0.033
Marshall,Kai Spears,0.022
Maryland,Andre Mills,2.862
Maryland,Solomon Washington,2.746
Maryland,David Coit,2.33
Maryland,Darius Adams,2.102
Maryland,Elijah Saunders,1.619
Maryland,Collin Metcalf,0.443
Maryland,Isaiah Watts,0.324
Maryland,George Turkson Jr.,0.16
Maryland,Aleks Alston,0.145
Maryland,Myles Rice,0.024
Maryland,Guillermo Del Pino Luque,0.023
Massachusetts,Marcus Banks,1.485
Massachusetts,Leonardo Bettiol,1.374
Massachusetts,Daniel Hankins-Sanford,1.139
Massachusetts,Danny Carbuccia,0.966
Massachusetts,K'Jei Parker,0.92
Massachusetts,Jayden Ndjigue,0.863
Massachusetts,"Dwayne Wimbley, Jr.",0.217
Massachusetts,Luka Damjanac,0.121
Massachusetts,Dimitri Clerc,0.107
Massachusetts,Donovan Brown,0.03
Massachusetts,Isaiah Placide,0.004
McNeese,Tyshawn Archie,1.823
McNeese,Javohn Garcia,1.782
McNeese,Larry Johnson,1.567
McNeese,Jerrell Colbert,1.518
McNeese,DJ Richards,1.337
McNeese,Garwey Dual,1.284
McNeese,Peitok Machar,0.688
McNeese,Jacolb Fredson-Cole,0.543
McNeese,Carl Cherenfant,0.441
McNeese,Yanis Ndjonga,0.061
McNeese,JJ Rembert,0.004
Memphis,Dug McDaniel,2.289
Memphis,Sincere Parker,2.21
Memphis,Julius Thedford,2.196
Memphis,Aaron Bradshaw,2.142
Memphis,Curtis Givens III,1.251
Memphis,Thierno Sylla,0.841
Memphis,Ashton Hardaway,0.639
Memphis,Zach Davis,0.306
Memphis,Quante Berry,0.288
Memphis,Simon Majok,0.203
Memphis,Tariq Ingraham,0.179
Memphis,William Whorton,0.07
Memphis,Arop Arop,0.004
Memphis,Mason Matthews,0.002
Mercer,Baraka Okojie,2.407
Mercer,Armani Mighty,2.015
Mercer,Zaire Williams,1.41
Mercer,Brady Shoulders,1.273
Mercer,Connor Serven,0.876
Mercer,Kyle Cuffe Jr.,0.582
Mercer,Quinton Perkins II,0.511
Mercer,Tristan Gross,0.108
Mercer,Bendji Pierre,0.014
Mercer,Braeden Carlsen,0.005
Mercer,Jaydon Cole,0.001
Mercer,TJ Grant,0.001
Mercyhurst,Bernie Blunt,2.154
Mercyhurst,Qadir Martin,2.092
Mercyhurst,Jake Lemelman,1.974
Mercyhurst,Mykolaus Ivanauskas,1.005
Mercyhurst,Christian Gamble,0.895
Mercyhurst,Deshaun Jackson Jr.,0.812
Mercyhurst,Sean Lang,0.663
Mercyhurst,Kaden Fuhrmann,0.478
Mercyhurst,James Thomas,0.061
Mercyhurst,Or Faran Frenkel,0.054
Mercyhurst,Cameron Johnson,0.052
Merrimack,Kevair Kennedy,3.263
Merrimack,Ernest Shelton,3.03
Merrimack,Tye Dorset,2.838
Merrimack,Andres Marrero,2.639
Merrimack,Todd Brogna,1.575
Merrimack,KC Ugwuakazi,1.495
Merrimack,Dylan Veillette,0.526
Merrimack,Jaylen Stinson,0.025
Merrimack,Brendan Johnson,0.022
Merrimack,Brandon Legris,0.008
Merrimack,Aliou Cisse,0.002
Miami (FL),Malik Reneau,1.491
Miami (FL),Shelton Henderson,1.483
Miami (FL),Tre Donaldson,1.298
Miami (FL),Ernest Udeh Jr.,1.048
Miami (FL),Timotej Malovec,0.28
Miami (FL),Tru Washington,0.082
Miami (FL),Noam Dovrat,0.066
Miami (FL),Salih Altuntas,0.045
Miami (OH),Eian Elmer,1.372
Miami (OH),Peter Suder,1.357
Miami (OH),Luke Skaljac,1.255
Miami (OH),Brant Byers,1.198
Miami (OH),Antwone Woolfolk,0.928
Miami (OH),Justin Kirby,0.74
Miami (OH),Almar Atlason,0.688
Miami (OH),Trey Perry,0.115
Miami (OH),Tyler Robbins,0.022
Miami (OH),Kyle Waltz,0.008
Michigan,Yaxel Lendeborg,2.017
Michigan,Morez Johnson Jr.,1.736
Michigan,Aday Mara,1.624
Michigan,L.J. Cason,1.468
Michigan,Nimari Burnett,1.421
Michigan,Trey McKenney,1.418
Michigan,Elliot Cadeau,1.065
Michigan,Will Tschetter,0.72
Michigan,Roddy Gayle Jr.,0.271
Michigan,Oscar Goodman,0.041
Michigan,Malick Kordel,0.021
Michigan,Howard Eisley Jr.,0.001
Michigan St.,Jeremy Fears Jr.,1.379
Michigan St.,Coen Carr,1.194
Michigan St.,Jordan Scott,1.08
Michigan St.,Jaxon Kohler,0.952
Michigan St.,Carson Cooper,0.707
Michigan St.,Cameron Ward,0.652
Michigan St.,Kur Teng,0.449
Michigan St.,Trey Fort,0.328
Michigan St.,Denham Wojcik,0.041
Michigan St.,Jesse McCulloch,0.029
Michigan St.,Divine Ugochukwu,0.025
Mid-Atlantic Christ.,Janai Williams,0.124
Mid-Atlantic Christ.,Samuel Boyd,0.114
Mid-Atlantic Christ.,Keondre Rodgers,0.1
Mid-Atlantic Christ.,Elijah Dias,0.083
Mid-Atlantic Christ.,Nikko Trafton,0.079
Mid-Atlantic Christ.,Jake Harper,0.075
Mid-Atlantic Christ.,Uriah Logan,0.059
Mid-Atlantic Christ.,Carlos Raven,0.046
Mid-Atlantic Christ.,Derrick Bolden,0.044
Middle Tenn.,Kamari Lands,2.233
Middle Tenn.,Torey Alston,1.936
Middle Tenn.,Alec Oglesby,1.592
Middle Tenn.,Chris Loofe,1.524
Middle Tenn.,Sean Smith,1.497
Middle Tenn.,Marcus Whitlock,1.236
Middle Tenn.,Luka Jovanovic,0.69
Middle Tenn.,Jahvin Carter,0.61
Middle Tenn.,Tre Green,0.322
Middle Tenn.,James Dent Jr.,0.025
Milwaukee,Aaron Franklin,3.186
Milwaukee,Chandler Jackson,2.792
Milwaukee,Stevie Elam,2.452
Milwaukee,Amar Augillard,1.477
Milwaukee,Josh Dixon,1.338
Milwaukee,Faizon Fields,1.092
Milwaukee,Sekou Konneh,1.076
Milwaukee,Isaiah Dorceus,0.871
Milwaukee,Esyah Pippa-White,0.719
Milwaukee,Tate MacKenzie,0.004
Minnesota,Cade Tyson,2.415
Minnesota,Bobby Durkin,2.31
Minnesota,Langston Reynolds,2.143
Minnesota,Isaac Asuma,1.978
Minnesota,Jaylen Crocker-Johnson,0.956
Minnesota,Grayson Grove,0.526
Minnesota,Kai Shinholster,0.167
Minnesota,Maximus Gizzi,0.01
Mississippi St.,Josh Hubbard,1.497
Mississippi St.,Achor Achor,0.982
Mississippi St.,Jamarion Davis-Fleming,0.786
Mississippi St.,Jayden Epps,0.755
Mississippi St.,Quincy Ballard,0.716
Mississippi St.,Ja'Borri McGhee,0.593
Mississippi St.,Shawn Jones Jr.,0.482
Mississippi St.,Sergej Macura,0.309
Mississippi St.,King Grace,0.193
Mississippi St.,Dellquan Warren,0.011
Mississippi St.,Brandon Walker,0.001
Mississippi Val.,Michael James,1.716
Mississippi Val.,Daniel Mayfield,1.479
Mississippi Val.,X’Zaevion Barnett,1.115
Mississippi Val.,Mussa Mzein,0.679
Mississippi Val.,Patrick Punch,0.439
Mississippi Val.,Tyrone Iroghama,0.414
Mississippi Val.,Jonathan Pace,0.247
Missouri,Mark Mitchell,1.55
Missouri,Jayden Stone,1.487
Missouri,Trent Pierce,1.215
Missouri,T.O. Barrett,1.17
Missouri,Jacob Crews,0.639
Missouri,Anthony Robinson II,0.578
Missouri,Shawn Phillips Jr.,0.561
Missouri,Nicholas Randall,0.03
Missouri,Trent Burns,0.007
Missouri St.,Kobi Williams,1.615
Missouri St.,Keith Palek III,1.266
Missouri St.,Michael Osei-Bonsu,1.255
Missouri St.,Trey Williams Jr,0.783
Missouri St.,Antwan Burnett,0.581
Missouri St.,Zaxton King,0.482
Missouri St.,Melakih Cunningham,0.166
Missouri St.,Darrion Sutton,0.156
Missouri St.,Tyrique Brooks,0.103
Missouri St.,Cameron Boone,0.05
Missouri St.,Logan Epes,0.003
Monmouth,Jason Rivera-Torres,1.448
Monmouth,Kavion McClain,1.284
Monmouth,Cornelius Robinson Jr.,1.113
Monmouth,Jack Collins,0.847
Monmouth,Justin Ray,0.829
Monmouth,Andrew Ball,0.78
Monmouth,Stefanos Spartalis,0.349
Monmouth,Dok Muordar,0.138
Monmouth,Anthony Martinez,0.018
Monmouth,Jinup Dobuol,0.009
Montana,Money Williams,1.395
Montana,Te'Jon Sawyer,1.343
Montana,Grant Kepley,1.059
Montana,Tyler Thompson,0.895
Montana,Kenyon Aguino,0.789
Montana,Brooklyn Hicks,0.72
Montana,Tyler Isaak,0.261
Montana,Trae Taylor,0.133
Montana,Amari Jedkins,0.041
Montana,Connor Dick,0.028
Montana,Chase Henderson,0.001
Montana St.,Jed Miller,1.425
Montana St.,Patrick McMahon,1.263
Montana St.,Jeremiah Davis,1.208
Montana St.,Christian King,1.177
Montana St.,Seth Amunrud,0.797
Montana St.,Jaden Steppe,0.751
Montana St.,Chris Hodges,0.719
Montana St.,Howie Keene,0.146
Morehead St.,Jon Carroll,1.738
Morehead St.,George Marshall,1.688
Morehead St.,Chase Dawson,1.57
Morehead St.,Anouar Mellouk,1.278
Morehead St.,Davion Cunningham,1.227
Morehead St.,Vince Dawson III,1.19
Morehead St.,Josiah LeGree,1.08
Morehead St.,Tamaury Releford,0.497
Morehead St.,Tyonne Farrell,0.266
Morgan St.,Marland Harris,0.266
Morgan St.,Alfred Worrell Jr.,0.242
Morgan St.,Elijah Davis,0.223
Morgan St.,Christian Meeks,0.157
Morgan St.,Rob Lawson,0.138
Morgan St.,Walter Peggs Jr.,0.086
Morgan St.,Eugene Alvin,0.046
Morgan St.,Manok Lual,0.001
Morgan St.,Matar Wade,0.001
Mount St. Mary's,Arlandus Keyes,1.762
Mount St. Mary's,Abdou Khadre Kébé,1.707
Mount St. Mary's,Xavier Lipscomb,1.683
Mount St. Mary's,Trey Deveaux,1.664
Mount St. Mary's,Luke McEldon,1.627
Mount St. Mary's,Anthony Arrington,0.677
Mount St. Mary's,Yakhya Diop,0.291
Mount St. Mary's,Justin Amadi,0.245
Mount St. Mary's,Mason So,0.244
Mount St. Mary's,Patrick Haigh,0.105
Mount St. Mary's,Anastasios Rozakeas,0.005
Mount St. Mary's,Elijah Espinosa,0.002
Murray St.,Roman Domon,2.887
Murray St.,Javon Jackson,2.49
Murray St.,Fredrick King,2.341
Murray St.,KJ Tenner,1.918
Murray St.,Layne Taylor,1.524
Murray St.,JJ Traynor,1.188
Murray St.,Mason Miller,0.68
Murray St.,Mathis Courbon,0.638
Murray St.,Brayden Shorter,0.371
Murray St.,Brock Vice,0.086
Murray St.,Dylan Anderson,0.077
N.C. A&T,Lewis Walker,1.617
N.C. A&T,Zamoku Weluche-Ume,0.9
N.C. A&T,Trent Middleton Jr.,0.878
N.C. A&T,Will Felton,0.831
N.C. A&T,Bryson Ogletree,0.484
N.C. A&T,Amadou Doumbia,0.364
N.C. A&T,Mujahiid Burton,0.362
N.C. A&T,Dwayne Pierce,0.349
N.C. A&T,Brooklyn Vick,0.266
N.C. A&T,KJ Debrick,0.075
N.C. A&T,Yancarlos Cueto,0.0
N.C. Central,Dionte Johnson,2.156
N.C. Central,Gage Lattimore,1.929
N.C. Central,Jae Slack,1.743
N.C. Central,Kelechi Okworogwo,1.416
N.C. Central,Tekao Carpenter,0.884
N.C. Central,Kyric Davis,0.837
N.C. Central,Khouri Carvey,0.785
N.C. Central,Ryan Archey,0.107
